cik,primarysymbol,companyname,industry,sector,siccode,websiteurl,lastannualtotalassets,lastannualrevenue,lastannualnetincome,lastannualeps,totalsharesoutstandingdate
1041061,YUM,YUM BRANDS INC,Restaurants & Bars,Consumer Cyclicals,5812,http://www.yum.com/,5478000000,6366000000,1619000000,4.04,5/2/2017 0:00
97476,TXN,TEXAS INSTRUMENTS INC,Semiconductors,Technology,3674,http://www.ti.com/,16431000000,13370000000,3595000000,3.48,4/25/2017 0:00
1402057,CDW,CDW CORP,IT Services & Consulting,Technology,5961,www.cdw.com,6948400000,13981900000,424400000,2.56,4/27/2017 0:00
823768,WM,WASTE MANAGEMENT INC,Environmental Services & Equipment,Industrials,4953,www.wm.com,20859000000,13609000000,1182000000,2.65,4/20/2017 0:00
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Multiline Insurance & Brokers,Financials,6411,http://www.marshmac.com,18190000000,13211000000,1768000000,3.38,4/25/2017 0:00
895126,CHK,CHESAPEAKE ENERGY CORP,Oil & Gas Exploration and Production,Energy,1311,www.chkenergy.com,13028000000,7872000000,-4401000000,-6.45,4/24/2017 0:00
76334,PH,PARKER HANNIFIN CORP,Industrial Machinery & Equipment,Industrials,3490,www.parker.com,12056738000,11360753000,806840000,5.89,3/31/2017 0:00
797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/,Oil & Gas Exploration and Production,Energy,1311,http://www.oxy.com,43109000000,10090000000,-574000000,-0.75,3/31/2017 0:00
1166126,JCP,J C PENNEY CO INC,Department Stores,Consumer Cyclicals,5311,www.jcpenney.com,9314000000,12547000000,1000000,0,3/20/2017 0:00
1047862,ED,CONSOLIDATED EDISON INC,Electric Utilities,Utilities,4931,www.conedison.com,48255000000,12075000000,1245000000,4.12,4/28/2017 0:00
1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,IT Services & Consulting,Technology,7371,www.cognizant.com,14262000000,13487000000,1553000000,2.55,4/28/2017 0:00
103379,VFC,V F CORP,Apparel & Accessories,Consumer Cyclicals,2320,http://www.vfc.com/,9739287000,12019003000,1074106000,2.54,4/29/2017 0:00
820027,AMP,AMERIPRISE FINANCIAL INC,Investment Management & Fund Operators,Financials,6282,http://www.ameriprise.com/,1.39821E+11,11735000000,1314000000,7.81,4/21/2017 0:00
701985,LB,"L BRANDS, INC.",Apparel & Accessories Retailers,Consumer Cyclicals,5621,www.limitedbrands.com,8170000000,12574000000,1158000000,3.98,3/10/2017 0:00
52988,JEC,JACOBS ENGINEERING GROUP INC /DE/,Construction & Engineering,Industrials,1600,http://www.jacobs.com,7360022000,10964157000,210463000,1.73,4/28/2017 0:00
1126328,PFG,PRINCIPAL FINANCIAL GROUP INC,Life & Health Insurance,Financials,6321,http://www.principal.com,2.28014E+11,12394100000,1316500000,4.5,4/26/2017 0:00
745732,ROST,ROSS STORES INC,Apparel & Accessories Retailers,Consumer Cyclicals,5651,http://www.rossstores.com/,5309351000,12866757000,1117654000,2.83,3/6/2017 0:00
886158,BBBY,BED BATH & BEYOND INC,Home Furnishings Retailers,Consumer Cyclicals,5700,http://www.bedbathandbeyond.com/,6846029000,12215757000,685108000,4.58,3/25/2017 0:00
277948,CSX,CSX CORP,Ground Freight & Logistics,Industrials,4011,www.csx.com,35414000000,11069000000,1714000000,1.81,3/31/2017 0:00
1300514,LVS,LAS VEGAS SANDS CORP,Casinos & Gaming,Consumer Cyclicals,7011,www.venetian.com,20469000000,11410000000,1670000000,2.1,5/3/2017 0:00
96223,LUK,LEUCADIA NATIONAL CORP,Holding Companies,Financials,2011,http://www.leucadia.com/,45071307000,9431271000,130001000,0.34,4/26/2017 0:00
715957,D,DOMINION ENERGY INC /VA/,Electric Utilities,Utilities,4911,www.domres.com,71610000000,11737000000,2123000000,3.44,4/14/2017 0:00
